w_val,q2_val,gen_events,flux,weight,cross_section,formfactor,formfactor_krishna,cs_scaled,cs_scaled_krishna,cs_scaled_unc,cs_scaled_krishna_unc,cs_unc
1.6749999999999998,10.75,17605,0.00000,0.01641,0.22500,0.89652,0.73653,0.20171,0.16572,0.00193,0.00159,0.00216
1.725,2.25,17765,0.00023,22.33846,5.57072,1.37731,1.39677,7.67263,7.78101,0.07428,0.07533,0.05393
1.725,2.75,17513,0.00015,10.10389,3.95353,1.31071,1.29729,5.18191,5.12888,0.05007,0.04955,0.03820
1.725,3.25,17417,0.00010,5.14709,2.95366,1.25573,1.21703,3.70900,3.59469,0.03585,0.03475,0.02855
1.725,3.75,17623,0.00007,2.89012,2.28904,1.20923,1.15047,2.76797,2.63347,0.02657,0.02528,0.02197
1.725,4.25,17573,0.00005,1.69770,1.82089,1.16914,1.09409,2.12888,1.99222,0.02030,0.01900,0.01736
1.725,4.75,17584,0.00004,1.03635,1.46030,1.13406,1.04552,1.65606,1.52676,0.01577,0.01454,0.01390
1.725,5.25,17652,0.00003,0.66257,1.19589,1.10298,1.00310,1.31904,1.19960,0.01257,0.01144,0.01140
1.725,5.75,17432,0.00002,0.44373,1.02377,1.07516,0.96562,1.10071,0.98857,0.01050,0.00943,0.00977
1.725,6.25,17285,0.00002,0.29705,0.85881,1.05004,0.93219,0.90178,0.80057,0.00863,0.00766,0.00822
1.725,6.75,17579,0.00002,0.20937,0.72952,1.02720,0.90213,0.74936,0.65811,0.00712,0.00625,0.00693
1.725,7.25,17474,0.00001,0.14843,0.63012,1.00629,0.87489,0.63409,0.55129,0.00602,0.00523,0.00598
1.725,7.75,17543,0.00001,0.11019,0.55831,0.98704,0.85007,0.55108,0.47460,0.00526,0.00453,0.00533
1.725,8.25,17507,0.00001,0.08042,0.48457,0.96924,0.82732,0.46966,0.40089,0.00447,0.00381,0.00461
1.725,8.75,17692,0.00001,0.06180,0.43358,0.95270,0.80637,0.41307,0.34963,0.00388,0.00329,0.00408
1.725,9.25,17453,0.00001,0.04660,0.38691,0.93728,0.78699,0.36264,0.30449,0.00345,0.00289,0.00368
1.725,9.75,17489,0.00001,0.03586,0.34440,0.92284,0.76899,0.31782,0.26484,0.00301,0.00251,0.00326
1.725,10.25,17697,0.00001,0.02817,0.30784,0.90929,0.75221,0.27991,0.23156,0.00264,0.00218,0.00290
1.725,10.75,17582,0.00000,0.02242,0.28219,0.89652,0.73653,0.25299,0.20784,0.00240,0.00197,0.00267
1.775,2.25,17383,0.00024,19.71924,4.80917,1.37731,1.39677,6.62374,6.71731,0.06630,0.06724,0.04814
1.775,2.75,17401,0.00015,9.32999,3.49633,1.31071,1.29729,4.58266,4.53576,0.04552,0.04506,0.03473
1.775,3.25,17505,0.00011,4.75279,2.57090,1.25573,1.21703,3.22836,3.12886,0.03180,0.03082,0.02533
1.775,3.75,17321,0.00008,2.62051,1.99333,1.20923,1.15047,2.41039,2.29326,0.02362,0.02248,0.01954
1.775,4.25,17706,0.00006,1.58529,1.58810,1.16914,1.09409,1.85672,1.73752,0.01799,0.01684,0.01539
1.775,4.75,17339,0.00004,0.96373,1.29258,1.13406,1.04552,1.46586,1.35141,0.01433,0.01321,0.01263
1.775,5.25,17525,0.00003,0.62336,1.06123,1.10298,1.00310,1.17051,1.06451,0.01130,0.01028,0.01025
1.775,5.75,17435,0.00003,0.40686,0.87704,1.07516,0.96562,0.94296,0.84689,0.00919,0.00826,0.00855
1.775,6.25,17540,0.00002,0.27583,0.73303,1.05004,0.93219,0.76972,0.68333,0.00743,0.00660,0.00708
