w_val,q2_val,gen_events,weight,rec_events,weight_rec,flux,cross_section,formfactor,cs_scaled
2.175,8.5,143446,0.85622,15298,0.08777,2e-05,0.31717,0.96082,0.30475
2.175,10.0,286072,0.83647,32060,0.08938,1e-05,0.23498,0.91596,0.21524
2.175,12.0,286797,0.35307,31844,0.03734,1e-05,0.16008,0.86759,0.13889
2.175,14.0,286127,0.16673,29737,0.01661,1e-05,0.11541,0.82833,0.0956
2.175,16.5,430134,0.11376,37113,0.00947,0.0,0.08312,0.78815,0.06551
2.175,19.5,430215,0.04902,28639,0.00331,0.0,0.05799,0.74904,0.04344
2.175,23.0,573261,0.0286,25709,0.00133,0.0,0.04126,0.71209,0.02938
2.175,27.5,717063,0.01456,12384,0.00029,0.0,0.02852,0.67395,0.01922
2.225,3.25,71398,21.66629,1,0.00042,0.00017,1.81403,1.25573,2.27793
2.225,3.85,100270,16.5027,1316,0.18063,0.00012,1.38628,1.20075,1.66457
2.225,4.6,114401,9.4196,4632,0.36649,8e-05,1.00969,1.14412,1.15522
2.225,5.5,143569,5.78291,8632,0.34075,6e-05,0.73202,1.0887,0.79695
2.225,6.5,143781,2.85703,11559,0.22476,4e-05,0.5296,1.03836,0.54991
2.225,7.5,143739,1.52949,13936,0.14251,3e-05,0.3984,0.99647,0.39699
2.225,8.5,143504,0.8719,15241,0.08866,2e-05,0.30904,0.96082,0.29694
2.225,10.0,286412,0.85237,32546,0.09225,1e-05,0.22825,0.91596,0.20907
2.225,12.0,286637,0.35993,31768,0.03755,1e-05,0.15533,0.86759,0.13476
2.225,14.0,288309,0.17152,29132,0.01659,1e-05,0.1118,0.82833,0.09261
2.225,16.5,430266,0.11666,37180,0.0099,0.0,0.08064,0.78815,0.06356
2.225,19.5,430104,0.04977,28798,0.00341,0.0,0.05559,0.74904,0.04164
2.225,23.0,573195,0.0291,25626,0.00138,0.0,0.03954,0.71209,0.02815
2.225,27.5,715851,0.01473,12022,0.00029,0.0,0.02714,0.67395,0.01829
2.275,3.85,99843,16.67894,1397,0.19338,0.00012,1.37314,1.20075,1.6488
2.275,4.6,115190,9.74779,4709,0.38159,8e-05,1.00867,1.14412,1.15404
2.275,5.5,143038,5.95725,8756,0.33425,6e-05,0.73286,1.0887,0.79786
2.275,6.5,142924,2.94979,11705,0.22898,4e-05,0.53076,1.03836,0.55112
2.275,7.5,143223,1.57415,13969,0.14178,3e-05,0.39592,0.99647,0.39453
